Datafile,Gene,chr,No,Region,Ingroup,Outgroup,n,Sites,NetSites,S,Eta,Hap,Hd,VarHd,Pi,VarPi,AvNumDif,ThetaNuc,ThetaG,ZnS,G+Cn,G+Gc,G+Ctot,TajimaD,SigD,FuLiD*,SigD,FuLiF*,SigF,FuFs
evm.TU.Chr1.25,rna-CPHLJ_5g3220,Chr1,25,        1-939,23,0,23,939,939,2,2,3,0.672,0.00205,0.001052,n.d.,0.9881,0.000577,0.5419,n.a.,0.345,0,0.345,1.8373,#   ,0.8437,n.s.,1.2842,n.s.,1.333
evm.TU.Chr1.26,rna-CPHLJ_5g3210,Chr1,26,       1-4041,23,0,23,4041,4041,10,10,8,0.838,0.00234,0.000667,n.d.,2.6957,0.00067,2.7094,0.2212,0.294,0,0.294,-0.0171,n.s.,1.4081,*   ,1.1492,n.s.,-0.853
evm.TU.Chr1.27,#N/A,Chr1,27,       1-2034,23,0,23,2034,2034,6,6,6,0.826,0.00144,0.000898,n.d.,1.8261,0.000799,1.6257,0.3342,0.3725,0,0.3725,0.3773,n.s.,1.2361,n.s.,1.1461,n.s.,-0.288
evm.TU.Chr1.28,rna-CPHLJ_5g3180,Chr1,28,       1-2601,23,0,23,2601,2601,8,8,9,0.885,0.00144,0.000891,n.d.,2.3162,0.000833,2.1675,0.1311,0.2968,0,0.2968,0.2225,n.s.,1.3355,#   ,1.1739,n.s.,-2.29
evm.TU.Chr1.29,rna-CPHLJ_5g3170,Chr1,29,        1-345,23,0,23,345,345,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.4058,0,0.4058,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.30,#N/A,Chr1,30,       1-1131,23,0,23,1131,1131,1,1,2,0.403,0.00826,0.000356,n.d.,0.4032,0.00024,0.2709,n.a.,0.395,0,0.395,0.8343,n.s.,0.6287,n.s.,0.7843,n.s.,1.088
evm.TU.Chr1.31,rna-CPHLJ_5g3140,Chr1,31,       1-7113,23,0,23,7113,7113,47,47,11,0.901,0.00163,0.001421,n.d.,10.1107,0.00179,12.7343,0.5186,0.3223,0,0.3223,-0.8037,n.s.,1.7483,**  ,1.1227,n.s.,1.383
evm.TU.Chr1.32,rna-CPHLJ_5g3130,Chr1,32,      1-14292,23,0,23,14292,14291,20,20,13,0.937,0.00085,0.000413,n.d.,5.8972,0.000379,5.4189,0.1277,0.2973,0,0.2973,0.3249,n.s.,1.5976,**  ,1.4155,n.s.,-2.166
evm.TU.Chr1.33,rna-CPHLJ_5g3120,Chr1,33,       1-1020,23,0,23,1020,1020,3,3,4,0.711,0.00322,0.000891,n.d.,0.9091,0.000797,0.8128,0.0513,0.2509,0,0.2509,0.3019,n.s.,0.9855,n.s.,0.9167,n.s.,-0.084
evm.TU.Chr1.34,rna-CPHLJ_5g3110,Chr1,34,      1-17730,23,0,23,17730,17725,50,50,15,0.96,0.00049,0.00105,n.d.,18.6166,0.000764,13.5471,0.1703,0.2688,0,0.2688,1.4637,n.s.,1.7561,**  ,1.951,**  ,0.592
evm.TU.Chr1.35,rna-CPHLJ_5g3111,Chr1,35,        1-642,23,0,23,642,642,2,2,3,0.569,0.00728,0.000997,n.d.,0.6403,0.000844,0.5419,n.a.,0.2981,0,0.2981,0.4052,n.s.,0.8437,n.s.,0.8322,n.s.,0.372
evm.TU.Chr1.36,rna-CPHLJ_5g3112,Chr1,36,        1-590,23,0,23,590,590,4,4,4,0.664,0.00582,0.002291,n.d.,1.3518,0.001837,1.0838,0.3213,0.3071,0,0.3071,0.685,n.s.,1.0898,n.s.,1.1272,n.s.,0.886
evm.TU.Chr1.37,rna-CPHLJ_5g3113,Chr1,37,        1-561,23,0,23,561,561,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3351,0,0.3351,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.38,#N/A,Chr1,38,        1-699,23,0,23,699,699,5,5,6,0.779,0.00343,0.002024,n.d.,1.415,0.001938,1.3547,0.176,0.2879,0,0.2879,0.1306,n.s.,1.1708,n.s.,1.0116,n.s.,-1.012
evm.TU.Chr1.39,#N/A,Chr1,39,       1-1308,23,0,23,1308,1308,4,4,4,0.625,0.00718,0.000689,n.d.,0.9012,0.000829,1.0838,0.1865,0.3176,0,0.3176,-0.4667,n.s.,1.0898,n.s.,0.7514,n.s.,-0.105
evm.TU.Chr1.40,rna-CPHLJ_5g3620,Chr1,40,       1-3048,23,0,23,3048,3048,3,3,5,0.715,0.00517,0.000335,n.d.,1.0198,0.000267,0.8128,0.0942,0.3145,0,0.3145,0.6491,n.s.,0.9855,n.s.,1.0283,n.s.,-0.887
evm.TU.Chr1.41,rna-CPHLJ_5g3630,Chr1,41,       1-1120,23,0,23,1120,1120,1,1,2,0.514,0.00168,0.000459,n.d.,0.5138,0.000242,0.2709,n.a.,0.3193,0,0.3193,1.5327,n.s.,0.6287,n.s.,0.9996,n.s.,1.53
evm.TU.Chr1.42,rna-CPHLJ_5g3640,Chr1,42,        1-729,23,0,23,729,729,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.2757,0,0.2757,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.43,rna-CPHLJ_5g3650,Chr1,43,        1-945,23,0,23,945,945,2,2,4,0.498,0.01235,0.000627,n.d.,0.5929,0.000573,0.5419,n.a.,0.3609,0,0.3609,0.21,n.s.,0.8437,n.s.,0.7705,n.s.,-1.053
evm.TU.Chr1.44,rna-CPHLJ_5g3660,Chr1,44,        1-462,23,0,23,462,462,1,1,2,0.403,0.00826,0.000873,n.d.,0.4032,0.000586,0.2709,n.a.,0.3247,0,0.3247,0.8343,n.s.,0.6287,n.s.,0.7843,n.s.,1.088
evm.TU.Chr1.45,rna-CPHLJ_5g3670,Chr1,45,       1-1281,23,0,23,1281,1281,1,1,2,0.403,0.00826,0.000315,n.d.,0.4032,0.000212,0.2709,n.a.,0.307,0,0.307,0.8343,n.s.,0.6287,n.s.,0.7843,n.s.,1.088
evm.TU.Chr1.46,rna-CPHLJ_5g3680,Chr1,46,       1-1272,23,0,23,1272,1272,6,6,8,0.885,0.00111,0.001939,n.d.,2.4664,0.001278,1.6257,0.1199,0.3362,0,0.3362,1.5827,n.s.,1.2361,n.s.,1.548,#   ,-1.143
evm.TU.Chr1.47,rna-CPHLJ_5g3690,Chr1,47,       1-1002,23,0,23,1002,1002,3,3,4,0.664,0.00418,0.000852,n.d.,0.8538,0.000811,0.8128,0.0612,0.3057,0,0.3057,0.1284,n.s.,0.9855,n.s.,0.8609,n.s.,-0.229
evm.TU.Chr1.48,rna-CPHLJ_5g3700,Chr1,48,       1-2136,23,0,23,2136,2136,2,2,3,0.628,0.00301,0.000355,n.d.,0.7589,0.000254,0.5419,n.a.,0.3326,0,0.3326,0.8934,n.s.,0.8437,n.s.,0.9863,n.s.,0.729
evm.TU.Chr1.49,rna-CPHLJ_5g3710,Chr1,49,        1-474,23,0,23,474,474,2,2,3,0.601,0.00285,0.001434,n.d.,0.6798,0.001143,0.5419,n.a.,0.3323,0,0.3323,0.568,n.s.,0.8437,n.s.,0.8835,n.s.,0.496
evm.TU.Chr1.50,rna-CPHLJ_5g3720,Chr1,50,        1-396,23,0,23,396,396,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3965,0,0.3965,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.51,rna-CPHLJ_5g3730,Chr1,51,       1-1305,23,0,23,1305,1305,2,2,3,0.593,0.00349,0.000527,n.d.,0.6877,0.000415,0.5419,n.a.,0.3054,0,0.3054,0.6005,n.s.,0.8437,n.s.,0.8938,n.s.,0.52
evm.TU.Chr1.52,rna-CPHLJ_5g3740,Chr1,52,        1-429,23,0,23,429,429,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.4033,0,0.4033,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.53,rna-CPHLJ_5g3750,Chr1,53,        1-546,23,0,23,546,546,3,3,4,0.672,0.00598,0.001506,n.d.,0.8221,0.001489,0.8128,0.035,0.3798,0,0.3798,0.0292,n.s.,0.9855,n.s.,0.829,n.s.,-0.316
evm.TU.Chr1.54,rna-CPHLJ_5g3760,Chr1,54,        1-429,23,0,23,429,429,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3893,0,0.3893,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.55,rna-CPHLJ_5g3770,Chr1,55,       1-1917,23,0,23,1917,1917,1,1,2,0.237,0.01098,0.000124,n.d.,0.2372,0.000141,0.2709,n.a.,0.324,0,0.324,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr1.56,rna-CPHLJ_5g3780,Chr1,56,        1-864,23,0,23,864,864,3,3,4,0.7,0.00439,0.001016,n.d.,0.8775,0.000941,0.8128,0.0434,0.3166,0,0.3166,0.2028,n.s.,0.9855,n.s.,0.8849,n.s.,-0.166
evm.TU.Chr1.57,rna-CPHLJ_5g3790,Chr1,57,        1-618,23,0,23,618,618,1,1,2,0.3,0.01095,0.000486,n.d.,0.3004,0.000438,0.2709,n.a.,0.3331,0,0.3331,0.1858,n.s.,0.6287,n.s.,0.5844,n.s.,0.612
evm.TU.Chr1.58,rna-CPHLJ_5g3800,Chr1,58,       1-1062,23,0,23,1062,1062,1,1,2,0.3,0.01095,0.000283,n.d.,0.3004,0.000255,0.2709,n.a.,0.2861,0,0.2861,0.1858,n.s.,0.6287,n.s.,0.5844,n.s.,0.612
evm.TU.Chr1.59,rna-CPHLJ_5g3810,Chr1,59,        1-945,23,0,23,945,945,6,6,7,0.834,0.00218,0.002158,n.d.,2.0395,0.00172,1.6257,0.1695,0.2898,0,0.2898,0.7791,n.s.,1.2361,n.s.,1.2801,n.s.,-0.863
evm.TU.Chr1.60,rna-CPHLJ_5g3820,Chr1,60,       1-1443,23,0,23,1443,1443,2,2,3,0.68,0.00187,0.000586,n.d.,0.8458,0.000376,0.5419,n.a.,0.3056,0,0.3056,1.2514,n.s.,0.8437,n.s.,1.0993,n.s.,0.968
evm.TU.Chr1.61,rna-CPHLJ_5g3825,Chr1,61,        1-988,23,0,23,988,988,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.2986,0,0.2986,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.62,0,Chr1,62,        1-924,23,0,23,924,921,8,8,10,0.731,0.00972,0.001802,n.d.,1.6601,0.002353,2.1675,0.0993,0.287,0,0.287,-0.7595,n.s.,1.3355,#   ,0.8413,n.s.,-4.983
evm.TU.Chr1.63,rna-CPHLJ_5g3840,Chr1,63,        1-399,23,0,23,399,399,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.2882,0,0.2882,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.64,rna-CPHLJ_5g3850,Chr1,64,       1-2931,23,0,23,2931,2931,7,7,7,0.826,0.00275,0.000655,n.d.,1.9209,0.000647,1.8966,0.122,0.3063,0,0.3063,0.0406,n.s.,1.2901,#   ,1.0765,n.s.,-1.047
evm.TU.Chr1.65,rna-CPHLJ_5g3861,Chr1,65,       1-3503,23,0,23,3503,3503,5,5,6,0.81,0.00185,0.000494,n.d.,1.7312,0.000387,1.3547,0.11,0.2573,0,0.2573,0.8153,n.s.,1.1708,n.s.,1.2376,n.s.,-0.44
evm.TU.Chr1.66,rna-CPHLJ_5g3880,Chr1,66,       1-1362,23,0,23,1362,1362,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.2291,0,0.2291,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.67,rna-CPHLJ_5g3890,Chr1,67,        1-993,23,0,23,993,993,2,2,2,0.474,0.00447,0.000955,n.d.,0.9486,0.000546,0.5419,n.a.,0.3072,0,0.3072,1.6745,n.s.,0.8437,n.s.,1.2329,n.s.,2.943
evm.TU.Chr1.68,rna-CPHLJ_5g3900,Chr1,68,       1-3303,23,0,23,3303,3303,1,1,2,0.166,0.00952,0.00005,n.d.,0.166,0.000082,0.2709,n.a.,0.2449,0,0.2449,-0.6622,n.s.,0.6287,n.s.,0.3229,n.s.,-0.213
evm.TU.Chr1.69,rna-CPHLJ_5g3910,Chr1,69,       1-1893,23,0,23,1893,1893,1,1,2,0.166,0.00952,0.000088,n.d.,0.166,0.000143,0.2709,n.a.,0.2937,0,0.2937,-0.6622,n.s.,0.6287,n.s.,0.3229,n.s.,-0.213
evm.TU.Chr1.70,rna-CPHLJ_5g3920,Chr1,70,        1-663,23,0,23,663,663,2,2,3,0.534,0.00932,0.000894,n.d.,0.5929,0.000817,0.5419,n.a.,0.352,0,0.352,0.21,n.s.,0.8437,n.s.,0.7705,n.s.,0.217
evm.TU.Chr1.71,rna-CPHLJ_5g3930,Chr1,71,        1-381,23,0,23,381,381,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.2415,0,0.2415,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.72,#N/A,Chr1,72,        1-663,23,0,23,663,663,2,2,3,0.435,0.01233,0.000703,n.d.,0.4664,0.000817,0.5419,n.a.,0.3048,0,0.3048,-0.3108,n.s.,0.8437,n.s.,0.6062,n.s.,-0.247
evm.TU.Chr1.73,#N/A,Chr1,73,        1-912,23,0,23,912,912,1,1,2,0.443,0.00635,0.000485,n.d.,0.4427,0.000297,0.2709,n.a.,0.3133,0,0.3133,1.0837,n.s.,0.6287,n.s.,0.8612,n.s.,1.253
evm.TU.Chr1.74,rna-CPHLJ_5g3950,Chr1,74,        1-657,23,0,23,657,657,2,2,4,0.498,0.01235,0.000902,n.d.,0.5929,0.000825,0.5419,n.a.,0.3597,0,0.3597,0.21,n.s.,0.8437,n.s.,0.7705,n.s.,-1.053
evm.TU.Chr1.75,#N/A,Chr1,75,       1-1233,23,0,23,1233,1233,2,2,3,0.482,0.0105,0.000494,n.d.,0.6087,0.000439,0.5419,n.a.,0.3222,0,0.3222,0.2751,n.s.,0.8437,n.s.,0.7911,n.s.,0.27
evm.TU.Chr1.76,rna-CPHLJ_1g1020,Chr1,76,        1-972,23,0,23,972,972,1,1,2,0.498,0.00285,0.000512,n.d.,0.498,0.000279,0.2709,n.a.,0.2802,0,0.2802,1.4329,n.s.,0.6287,n.s.,0.9688,n.s.,1.47
evm.TU.Chr1.77,rna-CPHLJ_1g1040,Chr1,77,       1-1800,23,0,23,1800,1800,3,3,4,0.696,0.00438,0.000483,n.d.,0.8696,0.000452,0.8128,0.0427,0.3045,0,0.3045,0.178,n.s.,0.9855,n.s.,0.8769,n.s.,-0.187
evm.TU.Chr1.78,rna-CPHLJ_1g1060,Chr1,78,       1-3549,23,0,23,3549,3549,8,8,8,0.881,0.00133,0.000719,n.d.,2.5534,0.000611,2.1675,0.1306,0.3079,0,0.3079,0.5775,n.s.,1.3355,#   ,1.2941,n.s.,-1.029
evm.TU.Chr1.79,rna-CPHLJ_1g1070,Chr1,79,        1-486,23,0,23,486,486,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3374,0,0.3374,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.80,rna-CPHLJ_1g1080,Chr1,80,        1-606,23,0,23,606,606,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3383,0,0.3383,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.81,rna-CPHLJ_1g1090,Chr1,81,       1-2442,23,0,23,2442,2442,6,6,7,0.866,0.00104,0.000816,n.d.,1.9921,0.000666,1.6257,0.112,0.2779,0,0.2779,0.6898,n.s.,1.2361,n.s.,1.2503,n.s.,-0.935
evm.TU.Chr1.82,rna-CPHLJ_1g1100,Chr1,82,       1-3291,23,0,23,3291,3291,10,10,7,0.87,0.001,0.000898,n.d.,2.9565,0.000823,2.7094,0.2138,0.3123,0,0.3123,0.3075,n.s.,1.4081,*   ,1.2604,n.s.,0.272
evm.TU.Chr1.83,rna-CPHLJ_1g1110,Chr1,83,       1-1224,23,0,23,1224,1224,2,2,4,0.668,0.00324,0.000672,n.d.,0.8221,0.000443,0.5419,n.a.,0.28,0,0.28,1.1538,n.s.,0.8437,n.s.,1.0685,n.s.,-0.316
evm.TU.Chr1.84,rna-CPHLJ_1g1120,Chr1,84,       1-1860,23,0,23,1860,1860,4,4,5,0.692,0.00495,0.000599,n.d.,1.1146,0.000583,1.0838,0.1799,0.3271,0,0.3271,0.0789,n.s.,1.0898,n.s.,0.9294,n.s.,-0.658
evm.TU.Chr1.85,rna-CPHLJ_1g1130,Chr1,85,        1-717,23,0,23,717,717,2,2,3,0.522,0.00843,0.000893,n.d.,0.6403,0.000756,0.5419,n.a.,0.3093,0,0.3093,0.4052,n.s.,0.8437,n.s.,0.8322,n.s.,0.372
evm.TU.Chr1.86,rna-CPHLJ_1g1140,Chr1,86,        1-822,23,0,23,822,822,2,2,2,0.403,0.00826,0.000981,n.d.,0.8063,0.000659,0.5419,n.a.,0.368,0,0.368,1.0887,n.s.,0.8437,n.s.,1.0479,n.s.,2.516
evm.TU.Chr1.87,#N/A,Chr1,87,        1-480,23,0,23,480,480,2,2,3,0.553,0.00643,0.001268,n.d.,0.6087,0.001129,0.5419,n.a.,0.3627,0,0.3627,0.2751,n.s.,0.8437,n.s.,0.7911,n.s.,0.27
evm.TU.Chr1.88,rna-CPHLJ_1g1160,Chr1,88,        1-933,23,0,23,933,933,1,1,2,0.356,0.00991,0.000381,n.d.,0.3557,0.00029,0.2709,n.a.,0.2495,0,0.2495,0.535,n.s.,0.6287,n.s.,0.692,n.s.,0.879
evm.TU.Chr1.89,rna-CPHLJ_1g1170,Chr1,89,       1-1140,23,0,23,1140,1140,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3123,0,0.3123,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.90,rna-CPHLJ_1g1180,Chr1,90,       1-2679,23,0,23,2679,2679,8,8,6,0.798,0.00346,0.000685,n.d.,1.834,0.000809,2.1675,0.1566,0.3343,0,0.3343,-0.4992,n.s.,1.3355,#   ,0.9295,n.s.,-0.276
evm.TU.Chr1.91,rna-CPHLJ_1g1200,Chr1,91,       1-1263,23,0,23,1263,1263,3,3,4,0.605,0.00624,0.000857,n.d.,1.083,0.000644,0.8128,0.3043,0.3365,0,0.3365,0.8474,n.s.,0.9855,n.s.,1.0921,n.s.,0.33
evm.TU.Chr1.92,rna-CPHLJ_1g1210,Chr1,92,       1-1701,23,0,23,1701,1701,4,4,7,0.87,0.00124,0.001199,n.d.,2.0395,0.000637,1.0838,0.2201,0.3283,0,0.3283,2.4429,*   ,1.0898,n.s.,1.7006,*   ,-0.863
evm.TU.Chr1.93,rna-CPHLJ_1g1220,Chr1,93,       1-2799,23,0,23,2799,2799,4,4,4,0.553,0.01134,0.000333,n.d.,0.9328,0.000387,1.0838,0.1815,0.3455,0,0.3455,-0.3859,n.s.,1.0898,n.s.,0.7778,n.s.,-0.024
evm.TU.Chr1.94,rna-CPHLJ_1g1230,Chr1,94,       1-3333,23,0,23,3333,3331,6,6,7,0.858,0.00185,0.000496,n.d.,1.6522,0.000488,1.6257,0.0879,0.2993,0,0.2993,0.0499,n.s.,1.2361,n.s.,1.0369,n.s.,-1.519
evm.TU.Chr1.95,rna-CPHLJ_1g1240,Chr1,95,       1-1419,23,0,23,1419,1419,2,2,3,0.316,0.01386,0.000234,n.d.,0.332,0.000382,0.5419,n.a.,0.3342,0,0.3342,-0.864,n.s.,0.8437,n.s.,0.4315,n.s.,-0.872
evm.TU.Chr1.96,rna-CPHLJ_1g1250,Chr1,96,       1-7482,23,0,23,7482,7481,25,25,12,0.905,0.00171,0.001171,n.d.,8.7589,0.000905,6.7736,0.1349,0.3642,0,0.3642,1.0999,n.s.,1.6455,**  ,1.7288,*   ,0.103
evm.TU.Chr1.97,rna-CPHLJ_1g1260,Chr1,97,       1-1849,23,0,23,1849,1849,6,6,8,0.822,0.00282,0.001167,n.d.,2.1581,0.000879,1.6257,0.2939,0.2948,0,0.2948,1.0023,n.s.,1.2361,n.s.,1.3545,n.s.,-1.589
evm.TU.Chr1.98,rna-CPHLJ_1g1270,Chr1,98,       1-1224,23,0,23,1224,1224,3,3,4,0.593,0.00922,0.000562,n.d.,0.6877,0.000664,0.8128,0.0207,0.3426,0,0.3426,-0.3923,n.s.,0.9855,n.s.,0.6935,n.s.,-0.72
